airport1,airport2,Oneworld,StarAlliance,Skyteam
BNE,CAN,2.0,0.0,0.0
BNE,CBR,4.0,0.0,0.0
BNE,CNS,11.0,0.0,0.0
BNE,CTL,2.0,0.0,0.0
BNE,DRW,4.0,0.0,0.0
BNE,DXB,2.0,0.0,0.0
BNE,EMD,2.0,0.0,0.0
BNE,GLT,2.0,0.0,0.0
BNE,HKG,6.0,0.0,0.0
BNE,HVB,2.0,0.0,0.0
BNE,ISA,2.0,0.0,0.0
BNE,KTA,2.0,0.0,0.0
BNE,KUL,2.0,0.0,0.0
BNE,LAX,4.0,0.0,2.0
BNE,LDH,2.0,0.0,0.0
BNE,LRE,2.0,0.0,0.0
BNE,MEL,4.0,0.0,0.0
BNE,MKY,2.0,0.0,0.0
BNE,MOV,2.0,0.0,0.0
BNE,NAN,2.0,0.0,0.0
BNE,NOU,2.0,0.0,0.0
BNE,NTL,2.0,0.0,0.0
BNE,PER,4.0,0.0,0.0
BNE,PHE,2.0,0.0,0.0
BNE,POM,2.0,0.0,0.0
BNE,PQQ,2.0,0.0,0.0
BNE,RMA,2.0,0.0,0.0
BNE,ROK,2.0,0.0,0.0
BNE,SIN,2.0,6.0,2.0
BNE,SON,2.0,0.0,0.0
BNE,SYD,4.0,0.0,0.0
BNE,TSV,4.0,0.0,0.0
BNE,VLI,2.0,0.0,0.0
BNE,ZBL,2.0,0.0,0.0
BOD,LGW,2.0,0.0,0.0
BOD,MAD,2.0,0.0,0.0
BOD,PMI,2.0,0.0,0.0
BOG,DFW,2.0,0.0,0.0
BOG,GRU,2.0,2.0,0.0
BOG,MAD,2.0,2.0,0.0
BOG,MIA,2.0,4.0,0.0
BOI,PHX,2.0,0.0,0.0
BOJ,DME,2.0,0.0,0.0
BOM,CMB,2.0,2.0,0.0
BOM,DOH,2.0,0.0,0.0
BOM,HKG,2.0,0.0,0.0
BOM,KUL,2.0,0.0,0.0
BOM,LHR,4.0,2.0,0.0
BOS,BUF,2.0,0.0,0.0
BOS,CLT,2.0,0.0,0.0
BOS,CUN,2.0,0.0,4.0
BOS,DCA,2.0,0.0,0.0
BOS,DFW,2.0,0.0,0.0
BOS,JFK,2.0,0.0,2.0
BOS,LAX,2.0,2.0,2.0
BOS,LGA,2.0,0.0,2.0
BOS,LHR,8.0,0.0,6.0
BOS,MAD,8.0,0.0,0.0
BOS,MDT,2.0,0.0,0.0
BOS,MIA,2.0,0.0,0.0
BOS,MSY,1.0,0.0,0.0
BOS,NRT,4.0,0.0,0.0
BOS,ORD,2.0,2.0,0.0
BOS,PDX,2.0,0.0,0.0
BOS,PHL,2.0,0.0,0.0
BOS,PHX,2.0,0.0,0.0
BOS,PIT,2.0,0.0,0.0
BOS,RIC,2.0,0.0,2.0
BOS,ROC,2.0,0.0,0.0
BOS,SAN,2.0,0.0,0.0
BOS,SEA,2.0,0.0,0.0
BOS,SYR,2.0,0.0,0.0
BPS,CGH,2.0,0.0,0.0
BPS,CNF,2.0,0.0,1.0
BPS,GRU,2.0,0.0,0.0
BPT,DFW,2.0,0.0,0.0
BRI,FLR,2.0,0.0,0.0
BRI,LGW,2.0,0.0,0.0
BRO,DFW,2.0,0.0,0.0
BRU,DOH,2.0,0.0,0.0
BRU,FCO,2.0,2.0,2.0
BRU,HEL,2.0,0.0,0.0
BRU,IBZ,2.0,0.0,0.0
BRU,LHR,4.0,2.0,0.0
BRU,LIS,4.0,6.0,0.0
BRU,MAD,2.0,2.0,4.0
BRU,OPO,2.0,4.0,0.0
BRU,PHL,2.0,0.0,0.0
BRU,PMI,2.0,0.0,0.0
BRU,SCQ,2.0,0.0,0.0
BRU,VCE,2.0,2.0,0.0
BRU,VLC,2.0,0.0,0.0
BSB,CGB,2.0,0.0,0.0
BSB,CGH,2.0,0.0,0.0
BSB,CGR,2.0,0.0,0.0
BSB,CNF,2.0,0.0,0.0
BSB,CWB,2.0,0.0,1.0
BSB,FLN,2.0,0.0,0.0
BSB,FOR,2.0,0.0,0.0
BSB,GIG,2.0,0.0,0.0
BSB,GRU,2.0,0.0,0.0
BSB,GYN,2.0,0.0,0.0
BSB,IMP,2.0,0.0,0.0
BSB,JPA,2.0,0.0,0.0
BSB,MAB,2.0,0.0,0.0
